Timestamp,Author_ID,Tweet,Likes,Retweets,Sentiment
2025-03-24 15:00:55.355394,75440,Loving my new outfit! #fashion,167,24,Positive
2025-03-15 15:00:55.355419,17762,Not impressed with this style. #fashionfail,333,59,Negative
2025-03-13 15:00:55.355435,29703,Not impressed with this style. #fashionfail,354,85,Negative
2025-03-03 15:00:55.355447,25120,Exploring vintage styles. #styleinspo,391,60,Neutral
2025-03-26 15:00:55.355455,73947,Attending fashion week next week. #fashion,112,115,Neutral
2025-03-26 15:00:55.355464,79459,Not impressed with this style. #fashionfail,37,191,Negative
2025-03-13 15:00:55.355472,34168,Feeling fabulous in this new dress. #fashiontrends,94,69,Positive
2025-03-05 15:00:55.355488,12752,Loving my new outfit! #fashion,497,65,Positive
2025-03-23 15:00:55.355494,37909,Terrible stitching on this shirt. #stylecritic,239,82,Negative
2025-03-04 15:00:55.355501,70509,Exploring vintage styles. #styleinspo,344,81,Neutral
2025-03-28 15:00:55.355506,62856,Looking up new fashion trends. #trendwatch,362,66,Neutral
2025-03-02 15:00:55.355510,85802,The new Zara collection is amazing. #style,435,77,Positive
2025-03-03 15:00:55.355515,34706,Attending fashion week next week. #fashion,350,17,Neutral
2025-03-10 15:00:55.355520,78754,Feeling fabulous in this new dress. #fashiontrends,407,37,Positive
2025-03-09 15:00:55.355525,34738,Feeling fabulous in this new dress. #fashiontrends,244,41,Positive
2025-03-08 15:00:55.355529,89750,Loving my new outfit! #fashion,297,177,Positive
2025-03-11 15:00:55.355534,90949,The new Zara collection is amazing. #style,345,91,Positive
2025-03-07 15:00:55.355538,22941,The new Zara collection is amazing. #style,333,73,Positive
2025-03-06 15:00:55.355543,68302,Attending fashion week next week. #fashion,371,109,Neutral
2025-03-03 15:00:55.355547,21604,Not impressed with this style. #fashionfail,455,32,Negative
2025-03-04 15:00:55.355552,11552,The new Zara collection is amazing. #style,384,181,Positive
2025-03-27 15:00:55.355556,12210,Not impressed with this style. #fashionfail,384,129,Negative
2025-03-08 15:00:55.355561,60623,Loving my new outfit! #fashion,267,88,Positive
2025-03-26 15:00:55.355565,55545,Looking up new fashion trends. #trendwatch,181,55,Neutral
2025-03-27 15:00:55.355570,51820,Loving my new outfit! #fashion,208,186,Positive
2025-03-07 15:00:55.355574,46559,Attending fashion week next week. #fashion,442,45,Neutral
2025-03-09 15:00:55.355579,21351,Not impressed with this style. #fashionfail,119,75,Negative
2025-03-23 15:00:55.355583,51332,The new Zara collection is amazing. #style,85,60,Positive
2025-03-29 15:00:55.355587,18790,Loving my new outfit! #fashion,269,53,Positive
2025-03-23 15:00:55.355592,69556,Terrible stitching on this shirt. #stylecritic,188,157,Negative
2025-03-06 15:00:55.355596,84751,The new Zara collection is amazing. #style,160,149,Positive
2025-03-30 15:00:55.355601,69988,The new Zara collection is amazing. #style,413,143,Positive
2025-03-08 15:00:55.355605,56251,Exploring vintage styles. #styleinspo,161,178,Neutral
2025-03-02 15:00:55.355610,39431,The new Zara collection is amazing. #style,495,95,Positive
2025-03-17 15:00:55.355614,21097,Attending fashion week next week. #fashion,342,200,Neutral
2025-03-03 15:00:55.355619,79113,Terrible stitching on this shirt. #stylecritic,259,38,Negative
2025-03-31 15:00:55.355623,45908,Terrible stitching on this shirt. #stylecritic,296,192,Negative
2025-03-03 15:00:55.355628,18344,The new Zara collection is amazing. #style,346,40,Positive
2025-03-10 15:00:55.355632,73942,The new Zara collection is amazing. #style,90,183,Positive
2025-03-05 15:00:55.355636,50849,The new Zara collection is amazing. #style,88,72,Positive
2025-03-26 15:00:55.355641,81349,Not impressed with this style. #fashionfail,255,187,Negative
2025-03-27 15:00:55.355646,70499,Loving my new outfit! #fashion,168,132,Positive
2025-03-21 15:00:55.355653,72302,The new Zara collection is amazing. #style,345,103,Positive
2025-03-15 15:00:55.355661,44275,Exploring vintage styles. #styleinspo,21,139,Neutral
2025-03-11 15:00:55.355668,27818,Attending fashion week next week. #fashion,193,108,Neutral
2025-03-02 15:00:55.355675,39255,Terrible stitching on this shirt. #stylecritic,167,197,Negative
2025-03-16 15:00:55.355682,52360,Terrible stitching on this shirt. #stylecritic,302,35,Negative
2025-03-29 15:00:55.355690,88192,Terrible stitching on this shirt. #stylecritic,4,55,Negative
2025-03-30 15:00:55.355694,90565,Looking up new fashion trends. #trendwatch,380,10,Neutral
2025-03-25 15:00:55.355699,90812,Feeling fabulous in this new dress. #fashiontrends,175,126,Positive
2025-03-21 15:00:55.355703,86299,Very disappointed with the fit. #fashion,488,2,Negative
2025-03-15 15:00:55.355708,47211,Feeling fabulous in this new dress. #fashiontrends,332,39,Positive
2025-03-22 15:00:55.355712,50193,Terrible stitching on this shirt. #stylecritic,135,80,Negative
2025-03-16 15:00:55.355717,85957,The new Zara collection is amazing. #style,457,136,Positive
2025-03-27 15:00:55.355721,54222,Looking up new fashion trends. #trendwatch,191,22,Neutral
2025-04-01 15:00:55.355726,89374,Very disappointed with the fit. #fashion,347,54,Negative
2025-03-29 15:00:55.355730,20200,Very disappointed with the fit. #fashion,298,36,Negative
2025-03-15 15:00:55.355736,45857,The new Zara collection is amazing. #style,420,140,Positive
2025-03-25 15:00:55.355740,89344,The new Zara collection is amazing. #style,468,38,Positive
2025-03-11 15:00:55.355745,66747,Looking up new fashion trends. #trendwatch,189,63,Neutral
2025-03-10 15:00:55.355749,88861,The new Zara collection is amazing. #style,33,85,Positive
2025-03-11 15:00:55.355754,37966,Looking up new fashion trends. #trendwatch,158,152,Neutral
2025-03-19 15:00:55.355759,25685,Attending fashion week next week. #fashion,26,149,Neutral
2025-03-23 15:00:55.355764,79670,Not impressed with this style. #fashionfail,319,146,Negative
2025-03-31 15:00:55.355769,65758,Exploring vintage styles. #styleinspo,366,180,Neutral
2025-03-23 15:00:55.355774,44476,Not impressed with this style. #fashionfail,117,97,Negative
2025-03-26 15:00:55.355781,25711,The new Zara collection is amazing. #style,473,161,Positive
2025-03-05 15:00:55.355789,93703,Loving my new outfit! #fashion,172,75,Positive
2025-03-20 15:00:55.355796,91471,Not impressed with this style. #fashionfail,37,161,Negative
2025-03-06 15:00:55.355803,65714,The new Zara collection is amazing. #style,264,63,Positive
2025-03-25 15:00:55.355808,79144,The new Zara collection is amazing. #style,271,126,Positive
2025-03-21 15:00:55.355814,44947,Looking up new fashion trends. #trendwatch,120,199,Neutral
2025-03-30 15:00:55.355818,67509,Looking up new fashion trends. #trendwatch,481,183,Neutral
2025-03-02 15:00:55.355823,47610,Terrible stitching on this shirt. #stylecritic,244,1,Negative
2025-03-02 15:00:55.355827,63243,The new Zara collection is amazing. #style,173,6,Positive
2025-03-07 15:00:55.355832,75401,Not impressed with this style. #fashionfail,414,188,Negative
2025-03-18 15:00:55.355836,15024,Attending fashion week next week. #fashion,346,145,Neutral
2025-03-24 15:00:55.355841,17795,Terrible stitching on this shirt. #stylecritic,455,81,Negative
2025-03-30 15:00:55.355845,45906,Terrible stitching on this shirt. #stylecritic,486,21,Negative
2025-03-04 15:00:55.355850,11701,Loving my new outfit! #fashion,329,119,Positive
2025-03-25 15:00:55.355855,30835,Not impressed with this style. #fashionfail,347,182,Negative
2025-03-12 15:00:55.355859,83154,Looking up new fashion trends. #trendwatch,97,121,Neutral
2025-03-09 15:00:55.355864,27131,Terrible stitching on this shirt. #stylecritic,86,120,Negative
2025-03-07 15:00:55.355868,45687,Loving my new outfit! #fashion,353,24,Positive
2025-03-07 15:00:55.355873,40145,Loving my new outfit! #fashion,172,17,Positive
2025-03-11 15:00:55.355878,18143,Very disappointed with the fit. #fashion,497,42,Negative
2025-03-12 15:00:55.355883,31009,Not impressed with this style. #fashionfail,138,76,Negative
2025-03-20 15:00:55.355887,55086,Not impressed with this style. #fashionfail,88,27,Negative
2025-03-25 15:00:55.355891,34486,Exploring vintage styles. #styleinspo,438,74,Neutral
2025-03-19 15:00:55.355896,10793,Terrible stitching on this shirt. #stylecritic,290,140,Negative
2025-03-20 15:00:55.355900,12010,Loving my new outfit! #fashion,478,41,Positive
2025-03-08 15:00:55.355905,78531,Not impressed with this style. #fashionfail,362,98,Negative
2025-03-29 15:00:55.355909,88688,Exploring vintage styles. #styleinspo,303,77,Neutral
